AAPL,Apple,NASDAQ
AXP,American Express,NYSE
BA,Boeing,NYSE
CAT,Caterpillar,NYSE
CSCO,Cisco Systems,NASDAQ
CVX,Chevron,NYSE
KO,Coca-Cola,NYSE
DD,DuPont,NYSE
XOM,ExxonMobil,NYSE
GE,General Electric,NYSE
GS,Goldman Sachs,NYSE
HD,Home Depot,NYSE
IBM,IBM,NYSE
INTC,Intel,NASDAQ
JNJ,Johnson & Johnson,NYSE
JPM,JPMorgan Chase,NYSE
MCD,McDonald's,NYSE
MMM,3M Company,NYSE
MRK,Merck,NYSE
MSFT,Microsoft,NASDAQ
NKE,Nike,NYSE
PFE,Pfizer,NYSE
PG,Procter & Gamble,NYSE
TRV,The Travelers,NYSE
UNH,UnitedHealth,NYSE
UTX,United Technologies,NYSE
V,Visa,NYSE
VZ,Verizon,NYSE
WMT,Wal-Mart,NYSE
DIS,Walt Disney,NYSE
